Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

17:48:48     %scpu-10  %scpu-60 %scpu-300     %scpu
18:25:08         0.00      0.00      0.00      0.11
18:25:13         0.00      0.00      0.00      0.03
18:25:18         0.00      0.00      0.00      0.03
18:25:23         0.00      0.00      0.00      0.05
18:25:28         0.00      0.00      0.00      0.03
18:25:33         0.00      0.00      0.00      0.06
18:25:38         0.00      0.00      0.00      0.09
18:25:43         0.00      0.00      0.00      0.09
18:25:48         0.00      0.00      0.00      0.06
18:25:53         0.00      0.00      0.00      0.04
18:25:58         0.00      0.00      0.00      0.09
18:26:03         0.00      0.00      0.00      0.02
18:26:08         0.00      0.00      0.00      0.09
18:26:13         0.00      0.00      0.00      0.09
18:26:18         0.00      0.00      0.00      0.09
18:26:23         0.00      0.00      0.00      0.07
18:26:28         0.00      0.00      0.00      0.11
18:26:33         0.00      0.00      0.00      0.08
18:26:38         0.00      0.00      0.00      0.06
18:26:43         0.00      0.00      0.00      0.02
18:26:48         0.00      0.00      0.00      0.01
18:26:53         0.00      0.00      0.00      0.06
18:26:58         0.00      0.00      0.00      0.02
18:27:03         0.00      0.00      0.00      0.09
18:27:08         0.00      0.00      0.00      0.01
18:27:13         0.00      0.00      0.00      0.02
18:27:18         0.00      0.00      0.00      0.07
18:27:23         0.00      0.00      0.00      0.01
18:27:28         0.00      0.00      0.00      0.07
18:27:33         0.00      0.00      0.00      0.05
18:27:38         0.00      0.00      0.00      0.04
18:27:43         0.00      0.00      0.00      0.04
18:27:48         0.00      0.00      0.00      0.09
18:27:53         0.00      0.00      0.00      0.03
18:27:58         0.00      0.00      0.00      0.06
18:28:03         0.00      0.00      0.00      0.03
18:28:08         0.00      0.00      0.00      0.06
18:28:13         0.00      0.00      0.00      0.06
18:28:18         0.00      0.00      0.00      0.02
18:28:23         0.00      0.00      0.00      0.08
18:28:28         0.00      0.00      0.00      0.09
18:28:33         0.00      0.00      0.00      0.03
18:28:38         0.00      0.00      0.00      0.03
18:28:43         0.00      0.00      0.00      0.04
18:28:48         0.00      0.00      0.00      0.03
18:28:53         0.00      0.00      0.00      0.05
18:28:58         0.00      0.00      0.00      0.05
18:29:03         0.00      0.00      0.00      0.08
18:29:08         0.00      0.00      0.00      0.05
18:29:13         0.00      0.00      0.00      0.05
18:29:18         0.00      0.00      0.00      0.04
18:29:23         0.00      0.00      0.00      0.03
18:29:28         0.00      0.00      0.00      0.18
18:29:33         0.00      0.00      0.00      0.06
18:29:38         0.00      0.00      0.00      0.21
18:29:43         0.00      0.00      0.00      0.01
18:29:48         0.00      0.00      0.00      0.05
18:29:53         0.00      0.00      0.00      0.04
18:29:58         0.00      0.00      0.00      0.01
18:30:03         0.00      0.00      0.00      0.03
18:30:08         0.00      0.00      0.00      0.01
18:30:13         0.00      0.00      0.00      0.01
18:30:18         0.00      0.00      0.00      0.05
